date,realization-1,realization-2,realization-3,realization-4,realization-5
1955-01-01,,,,,
1955-01-02,,,,,
1955-01-03,,,,,
1955-01-04,,,,,
1955-01-05,43.627,45.955,54.106,55.397,59.826
1955-01-06,649.259,655.013,660.772,666.353,671.591
1955-01-07,1277.739,1281.876,1287.981,1284.523,1287.435
1955-01-08,1598.968,1604.177,1595.833,1599.139,1609.961
1955-01-09,1863.284,1856.351,1826.28,1869.587,1874.577
1955-01-10,2078.198,2087.744,2073.969,2085.06,2098.471
1955-01-11,2713.12,2706.281,2710.495,2733.19,2723.129
1955-01-12,3609.201,3616.606,3623.378,3629.839,3637.147
1955-01-13,4792.224,4801.061,4808.485,4815.389,4824.52
1955-01-14,6180.858,6186.988,6191.875,6196.345,6202.798
1955-01-15,7317.923,7308.917,7318.744,7337.496,7325.034
1955-01-16,8212.04,8220.196,8227.337,8214.709,8220.572
1955-01-17,9006.177,9009.938,8982.744,9008.028,9025.454
1955-01-18,9695.64,9662.359,9754.766,9747.153,9656.316
1955-01-19,10112.254,10117.38,9922.922,10077.231,10199.795
1955-01-20,9998.199,9944.197,9963.414,10041.312,9980.512
1955-01-21,9385.477,9377.799,9358.586,9383.276,9383.189
1955-01-22,8495.447,8490.702,8463.265,8481.405,8495.063
1955-01-23,7511.368,7514.137,7497.502,7495.626,7506.224
1955-01-24,6639.487,6633.122,6641.664,6636.804,6624.592
1955-01-25,5973.735,5970.835,5968.535,5966.34,5963.229
1955-01-26,5441.456,5438.815,5436.698,5434.688,5431.905
1955-01-27,5034.855,5032.779,5031.085,5029.468,5027.288
1955-01-28,4718.915,4717.083,4715.568,4714.131,4712.23
1955-01-29,4430.924,4429.044,4427.466,4425.967,4424.037
1955-01-30,4149.992,4148.087,4146.454,4144.896,4142.947
1955-01-31,3909.689,3908.156,3906.826,3905.548,3903.996
1955-02-01,3709.193,3707.391,3705.774,3704.229,3702.42
1955-02-02,3481.777,3479.816,3478.01,3476.271,3474.344
1955-02-03,3293.798,3292.074,3290.419,3288.819,3287.15
1955-02-04,3120.97,3119.93,3118.45,3118.18,3117.351
1955-02-05,2971.627,2977.96,2969.151,2967.205,2975.835
1955-02-06,2869.305,2861.022,2881.743,2890.816,2868.657
1955-02-07,2725.201,2721.785,2746.606,2732.236,2723.74
1955-02-08,2614.574,2595.034,2614.937,2616.378,2577.742
1955-02-09,2515.555,2502.848,2523.131,2517.678,2486.383
1955-02-10,2403.292,2400.242,2394.31,2396.206,2391.581
1955-02-11,2309.915,2301.619,2325.272,2315.322,2290.567
1955-02-12,2255.319,2241.768,2235.677,2267.316,2247.767
1955-02-13,2198.849,2218.192,2205.698,2189.972,2225.641
1955-02-14,2128.297,2145.076,2184.739,2105.474,2127.741
1955-02-15,2132.517,2125.955,2092.012,2133.734,2139.72
1955-02-16,2092.616,2069.657,2089.762,2107.566,2068.037
1955-02-17,2034.074,2038.778,2042.774,2029.328,2034.018
1955-02-18,1983.832,1986.281,1940.591,1983.717,2003.974
1955-02-19,1904.305,1904.821,1931.397,1905.814,1897.403
1955-02-20,1850.844,1842.612,1866.174,1855.207,1836.298
1955-02-21,1807,1801.777,1804.242,1810.487,1802.683
1955-02-22,1770.929,1776.029,1762.722,1766.526,1776.384
1955-02-23,1751.312,1725.509,1719.328,1765.865,1731.229
1955-02-24,1695.99,1713.496,1700.668,1685.335,1713.538
1955-02-25,1660.928,1650.187,1652.325,1666.866,1647.851
1955-02-26,1604.934,1615.378,1591.628,1598.668,1619.367
1955-02-27,1555.389,1543.184,1553.641,1559.708,1540.828
1955-02-28,1501.723,1504.718,1503.499,1498.384,1503.537
1955-03-01,1453.027,1456.293,1456.978,1450.711,1454.459
1955-03-02,1408.638,1407.473,1405.803,1407.999,1407.71
1955-03-03,1379.246,1376.046,1375.528,1380.794,1376.532
1955-03-04,1367.785,1364.286,1360.989,1370.094,1365.894
1955-03-05,1363.302,1364.287,1358.444,1362.368,1366.796
1955-03-06,1425.278,1423.612,1427.395,1428.116,1425.282
1955-03-07,1617.789,1617.624,1644.388,1623.202,1611.69
1955-03-08,1998.942,1980.243,1994.911,2013.508,1985.663
1955-03-09,2581.652,2573.785,2608.338,2600.633,2582.08
1955-03-10,3241.188,3245.486,3249.062,3252.576,3256.842
1955-03-11,3758.598,3763.204,3767.338,3771.25,3775.827
1955-03-12,4246.295,4249.154,4251.62,4253.924,4256.828
1955-03-13,4501.614,4502.368,4503.017,4503.609,4504.372
1955-03-14,4471.93,4471.096,4470.396,4469.727,4468.868
1955-03-15,4268.799,4267.124,4265.704,4264.351,4262.638
